Timestamp,101,200,201,202,203,204,301,302,303,307,308,400,401,402,403,404,405,406,407,409,410,412,414,416,418,421,422,423,425,426,429,444,451,452,464,479,500,501,502,503,504,511,520,521,522,523,525,526,530,999
2022-04-07_20-28-46,106781,458607508,14671,207236,1016472,219695,248332069,68828131,726243,2967680,4619156,93875718,76501381,161487,81065658,103577017,517734,776853,2840626,2485158,544620,67826,30027,17042,69677,33981,25589,52670,20070,464339,3433563,259502,14181,23568,13554,37116,11565281,284698,4329124,14222196,142092,28775,444033,1885766,51511,352518,171582,240702,750420,38637
2022-04-07_20-29-26,106781,458607508,14671,207236,1016472,219695,248332069,68828131,726243,2967680,4619156,93875718,76501381,161487,81065658,103577017,517734,776853,2840626,2485158,544620,67826,30027,17042,69677,33981,25589,52670,20070,464339,3433563,259502,14181,23568,13554,37116,11565281,284698,4329124,14222196,142092,28775,444033,1885766,51511,352518,171582,240702,750420,38637
2022-04-07_20-29-48,106781,458607508,14671,207236,1016472,219695,248332069,68828131,726243,2967680,4619156,93875718,76501381,161487,81065658,103577017,517734,776853,2840626,2485158,544620,67826,30027,17042,69677,33981,25589,52670,20070,464339,3433563,259502,14181,23568,13554,37116,11565281,284698,4329124,14222196,142092,28775,444033,1885766,51511,352518,171582,240702,750420,38637
2022-04-07_20-33-25,106781,458607508,14671,207236,1016472,219695,248332069,68828131,726243,2967680,4619156,93875718,76501381,161487,81065658,103577017,517734,776853,2840626,2485158,544620,67826,30027,17042,69677,33981,25589,52670,20070,464339,3433563,259502,14181,23568,13554,37116,11565281,284698,4329124,14222196,142092,28775,444033,1885766,51511,352518,171582,240702,750420,38637
2022-04-14_13-48-05,108747,464650831,14891,210397,993925,219777,250659004,69295117,728408,2998143,4736237,94438027,76732366,171923,82838585,104578902,525824,661834,2855331,2557433,626380,68346,30415,16277,88989,33083,27201,52385,20149,467599,3781439,258878,14086,24109,13889,37094,11670161,283976,4400718,14283479,160716,29585,449244,1720951,51991,369289,176060,249944,839778,39473
2022-04-18_12-50-17,108712,465947192,15057,221808,993048,220252,250734229,70732713,726840,2989049,4736089,95192392,76275891,172049,83562242,104118934,532575,664925,2863997,2557440,709111,68801,30714,16919,89015,32728,27968,52376,20137,472615,3781669,257786,14104,24163,14391,36969,11668759,285316,4392727,14300503,158438,29543,449338,1720960,51988,369843,176060,249924,839736,39512
2022-04-18_16-32-32,108712,465947192,15057,221808,993048,220252,250734229,70732713,726840,2989049,4736089,95192392,76275891,172049,83562242,104118934,532575,664925,2863997,2557440,709111,68801,30714,16919,89015,32728,27968,52376,20137,472615,3781669,257786,14104,24163,14391,36969,11668759,285316,4392727,14300503,158438,29543,449338,1720960,51988,369843,176060,249924,839736,39512
2022-04-19_17-33-21,109051,465978526,15166,223821,992867,220834,250774455,70701438,728765,2989602,4737417,95300863,76327350,172076,83752773,104290980,535316,665573,2857725,2557443,749666,68643,30842,16994,89057,32843,27987,52382,20133,468990,3781654,257663,14109,23946,14422,36976,11657510,285396,4469179,14277536,158156,29558,449256,1720956,51988,369853,176060,249926,839745,39526
2022-04-20_09-53-09,109280,470485899,15811,225757,1015357,226893,256112049,71893714,743028,3041236,4940421,95733207,77082044,182886,85404776,105885545,539899,688406,2867427,2608781,812073,68935,31000,17224,102442,33541,27884,52833,20423,466255,3912911,255085,14269,24018,14604,37045,11755752,286164,4594469,14523778,171749,30178,465231,1654740,52712,384634,178701,253328,877888,39721
2022-04-21_21-28-18,108807,470014313,15732,226052,1016355,226444,256086313,71587073,740941,3035178,4940748,95686504,76784144,182922,85417775,105531283,541379,687680,2853864,2608776,842566,68862,31228,17283,102443,33633,27873,52849,20422,467980,3912760,254773,14263,23755,14561,36975,11751249,285449,4576249,14557626,171727,30164,465230,1654729,52709,384504,178701,253337,877897,39733
2022-04-22_10-48-29,109053,470359176,15732,222803,1016637,226528,256128989,71754399,741975,3041272,4941455,96100624,77041623,182929,85704949,105947544,543066,687809,2882274,2608799,908021,69016,31177,17347,102492,33752,27504,52855,20412,472176,3912210,254710,14274,24402,14633,36944,11759070,286471,4582103,14566381,171944,30186,465233,1654726,52709,384563,178701,253341,877895,39722
